Card,Song,Link,Tags
Chillin in Another World with Lv2 Super Cheat Powers,OP 1,https://youtu.be/-etBdsOmTfA?si=3hOpC0dinU69A7qT,OP
Isekai Quartet,OP 1 - Isekai Quartet,https://youtu.be/COz9Zy472Ks?si=pVSLesCjxUx23NoX,OP
Isekai Quartet,ED 1 - Girl Talk,https://youtu.be/qHV2zs9OFHE?si=gTZnXDQYSCJV9UaP,ED
Isekai Quartet,OP 2 - Isekai Showtime,https://youtu.be/qe06QmN53uo?si=Q4yYVidNO3N45Tgp,OP
Isekai Quartet,ED 2 - Ponkotsu! Isekai Theater,https://www.youtube.com/watch?v=etCXpLLNWVQ,ED
Honkai: Star Rail,Wildfire,https://www.youtube.com/watch?v=SxlW79tDhCA,Soundtrack
Honkai: Star Rail,Take the Journey,https://www.youtube.com/watch?v=3FEFtFMBREA,Soundtrack
Saga of Tanya the Evil,Jingo Jungle,https://youtu.be/voC3PvD_iZw?si=TcqS4OLo9kAcagEz,OP
Cautious Hero,Tit for Tat,https://youtu.be/BJIGk0jdJoo?si=zXKByeOS6xN7yttV,OP
Mushoku Tensei,OP 1,https://youtu.be/NFrUzUiDVDY?si=MiwbNatAQdbwnY3Q,OP
Mushoku Tensei,OP 2,https://youtu.be/ZwJZa9mrwBw?si=jk8qXNFCzgqwtguV,OP
Saga of Tanya the Evil,Los! Los! Los!,https://www.youtube.com/watch?v=ow0b-Crmr1Q,ED
Kantai Collection: KanColle,海色,https://youtu.be/Z3Gmv4_HkN4?si=YJoRhBRlNGaoHO02,OP
My Deer Friend Nokotan,Shikairo Days,https://youtu.be/P5k2Db1SRrY?si=YzIY7nyX7y6cN9nl,OP
My Deer Friend Nokotan,Ed 1,https://www.youtube.com/watch?v=ZUZUpBWxacE&list=PLODmH4ThctzZmaiDS9VJRqrbV6RtiCGUE&index=3,ED
Gyari,アカリがやってきたぞっ ,https://www.youtube.com/watch?v=tyneiz9FRMw,Vocaloid
Lucky Star,Motteke! Sailor Fuku,https://www.youtube.com/watch?v=6iseNlvH2_s,OP
Fairy Tail,Op 1,https://www.youtube.com/watch?v=9jvVBVcZ0-Y,OP
Fairy Tail,Op 3,https://www.youtube.com/watch?v=T60pzAKu60Q,OP
Fairy Tail,Op 6,https://www.youtube.com/watch?v=FwHU32HL3SE,OP
Fairy Tail,Op 8,https://www.youtube.com/watch?v=3wnfkrsmkQQ,OP
Fairy Tail,Op 9,https://www.youtube.com/watch?v=dqnpiW730xc,OP
Fairy Tail,Op 16,https://www.youtube.com/watch?v=c6zMeFHvbrI,OP
Fairy Tail,Fairy Tail Main Theme,https://www.youtube.com/watch?v=m6kb96YWXMA,Soundtrack
Honkai: Star Rail,Hope is a Thing With Feathers,https://www.youtube.com/watch?v=aPyt41nnM0k,Soundtrack
Bleach,Op 1,https://www.youtube.com/watch?v=wW9TwZdWpjw,OP
Bleach,Op 2,https://www.youtube.com/watch?v=_ECqCSc7MRU,OP
Bleach,Op 12,https://www.youtube.com/watch?v=i0we6am_25g,OP
Bleach,Op 13,https://www.youtube.com/watch?v=5emM3JGI5JA,OP
Bleach,Ed - Life is like a boat,https://www.youtube.com/watch?v=hYD6Ocj8dp8,ED
Bleach,Ed - Last Moment,https://www.youtube.com/watch?v=N4bCjOEjhCk,ED
Bleach,Number One,https://www.youtube.com/watch?v=1lsn2tT5yTc,Soundtrack
Fullmetal Alchemist,Op 1,https://www.youtube.com/watch?v=elyXcwunIYA,OP
Fullmetal Alchemist,Op 4,https://www.youtube.com/watch?v=nOf0sB8OR5o,OP
Madoka Magica,Op 1,https://www.youtube.com/watch?v=OrgpX-_bFqM,OP
Madoka Magica,Ed 1,https://www.youtube.com/watch?v=rNOTnm2M1a0,ED
Madoka Magica,Mami Theme,https://www.youtube.com/watch?v=2MaQ6m6mho8,Soundtrack
Ouran Host Club,Op,https://www.youtube.com/watch?v=S1SxNoqhwHA,OP
Ouran Host Club,Ed,https://www.youtube.com/watch?v=TNkVWoRmy1A,ED
Death Note,Op,https://www.youtube.com/watch?v=kNyR46eHDxE,OP
Death Note,L Theme,https://www.youtube.com/watch?v=qR6dzwQahOM,Soundtrack
